Marital_status,Application_mode,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations
1,17,122,127.3,1,0,1,1,0,20,0,0,0,0,0,0,0,0
1,15,160,142.5,1,0,0,1,0,19,6,6,14,6,6,6,13.666666666666666,0
1,1,122,124.8,1,0,0,1,0,19,6,0,0,6,0,0,0,0
1,17,122,119.6,1,0,1,0,0,20,6,6,13.428571428571429,6,10,5,12.4,0
2,39,100,141.5,0,0,1,0,0,45,6,5,12.333333333333334,6,6,6,13,0
2,39,133.1,114.8,0,1,1,1,0,50,5,5,11.857142857142858,5,17,5,11.5,5
1,1,142,128.4,1,0,1,0,1,18,7,7,13.3,8,8,8,14.345,0
1,18,119,113.1,1,0,0,1,0,22,5,0,0,5,5,0,0,0
1,1,137,129.3,0,0,1,0,1,21,6,6,13.875,6,7,6,14.142857142857142,0
1,1,138,123,1,1,0,0,0,18,6,5,11.4,6,14,2,13.5,0
1,1,139,130.6,1,0,1,0,0,18,6,6,12.333333333333334,6,7,5,14.2,0
1,1,136,119.3,1,0,1,0,1,18,8,7,13.214285714285714,8,8,7,13.214285714285714,0
1,1,133,130.2,1,0,1,0,0,19,6,0,0,6,0,0,0,0
1,53,110,111.8,1,0,1,0,1,21,6,6,10.571428571428571,6,8,5,11,0
1,1,149,137.1,1,0,1,0,1,18,5,4,13.25,5,5,5,12,0
1,1,127,120.7,1,0,1,0,0,20,6,5,13.2,6,7,0,0,0
1,17,135,127.3,1,0,1,0,0,18,7,7,13.30625,8,8,8,14.545,0
1,1,137,136.3,1,0,1,0,0,20,5,4,12.5,5,8,4,12.25,2
1,1,122,120.3,0,0,1,0,1,21,0,0,0,0,0,0,0,0
1,1,142,125.5,1,0,1,0,0,18,8,7,12.857142857142858,8,12,7,12.857142857142858,0
1,1,125,114.9,1,0,1,0,1,19,6,6,13.375,6,7,6,12.285714285714286,0
1,1,126,123.9,0,0,1,0,0,19,7,6,13.296666666666669,8,9,7,14.114285714285714,0
1,17,115,116.4,1,0,1,0,0,21,6,6,11.375,6,9,6,13.285714285714286,0
1,1,135,122.1,1,0,1,0,0,20,5,5,12,5,6,5,12.333333333333334,0
1,51,125,130,1,0,1,1,0,20,6,6,12.833333333333334,6,9,4,13.4,0
1,18,138,134.5,1,0,1,0,0,19,6,6,12.666666666666666,6,8,6,14.375,0
1,1,130,131.4,0,0,1,1,0,34,5,5,12.4,5,9,5,13.428571428571429,0
1,39,130,102.5,0,1,0,1,0,37,7,0,0,7,7,1,10,0
1,39,133.1,128.8,1,0,1,1,0,43,5,0,0,5,0,0,0,0
1,43,140,122.9,0,0,1,0,0,55,5,1,10,5,8,2,12,2
4,39,120,113.9,1,0,1,0,0,39,5,5,11,5,5,5,11.6,0
1,44,120,120,0,1,0,0,0,20,6,3,11.666666666666666,6,11,3,12,0
1,1,126,121.1,0,1,1,0,0,18,6,4,12.75,5,5,0,0,0
1,1,133,120.4,1,0,1,0,0,22,5,5,14.8,5,5,5,15.8,0
1,1,103,100.6,1,0,1,0,0,22,7,5,13.928,8,9,7,14.342857142857142,0
1,17,120,121.4,0,0,0,0,0,20,6,4,13,6,7,5,13.8,0
1,39,133.1,109.7,0,0,1,0,0,29,5,0,0,5,0,0,0,0
1,17,130,127.6,1,0,1,0,0,18,6,6,11.666666666666666,6,8,5,13.2,0
1,17,132,132.4,1,0,1,0,1,22,7,6,13.516666666666666,8,9,7,13.771428571428572,0
1,44,130,133.4,0,0,1,0,1,21,6,6,11.5,6,7,6,13.285714285714286,0
1,1,139,126.1,0,0,1,0,1,19,6,5,12.333333333333334,6,7,6,12.833333333333334,0
1,39,130,113.5,0,0,1,0,1,24,6,6,13.666666666666666,6,6,6,14.166666666666666,0
1,1,167,159.3,0,0,1,0,0,19,5,5,14.714285714285714,5,5,5,15.8,0
1,39,130,120,0,0,1,0,0,27,5,5,10.6,5,10,5,11,0
1,1,130,129.1,1,0,1,0,0,18,7,7,13.044444444444444,8,10,8,13.595,0
2,7,130,130,0,0,1,0,0,39,6,0,0,6,6,0,0,0
1,39,129,155.3,1,0,1,0,0,27,6,5,13,11,13,10,12.9,0
1,17,141,139.8,1,0,1,0,0,18,8,8,14.935,8,8,8,14.935,0
1,1,125,114.9,0,0,1,0,0,18,7,6,13.133333333333333,8,12,7,12.221428571428572,0
1,44,130,131.9,0,0,1,0,1,21,6,6,12,6,7,6,12,0
4,42,133.1,126,1,0,1,1,0,29,7,5,11.9,8,10,5,11,0
1,1,139,128.2,1,0,1,1,1,19,0,0,0,0,0,0,0,0
1,44,130,130,1,0,1,1,0,23,6,6,12.571428571428571,6,7,6,12.428571428571429,0
1,1,125,120.1,0,1,1,1,0,19,5,5,11.2,5,10,4,10.75,3
1,17,150,130.8,0,0,1,1,0,24,7,7,11.975,8,8,8,13.75,0
1,1,141,135.8,1,0,1,1,0,19,0,0,0,0,0,0,0,0
1,17,118,111.7,1,0,1,1,0,18,6,3,11.666666666666666,6,12,1,12,0
1,1,142,132.9,1,0,1,1,0,18,6,6,12.333333333333334,6,11,3,12.333333333333334,0
1,17,120,115.5,1,1,1,1,0,18,5,3,10.333333333333334,5,11,3,10.857142857142858,0
